,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aggregate,,,,,,,,,,,,,Auto,,,,,,,,,Switch/Scale,,,,,,,,Vault,,,,,,,,,,Endgame,,,,,,,,Miscellaneous,,,,,,,Awards,,,,,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,winning Margin Elo,total Points,winning Margin,ranking Points,auto Points,teleop Excluding Endgame Points,endgame Points,auto Elo Points,scale Elo Points,switch and Scale Elo Points,win,opponent Switch Deactivated Seconds,placeholder,auto Run Points,auto Run Rate,auto Switch Ownership Seconds,auto Switch At Zero,auto Scale Ownership Seconds,auto Scale Ownership Margin,auto Ownership Points,auto Ownership Points Margin,auto Quest Ranking Point,teleop Switch Ownership Seconds,teleop Switch Force Seconds,teleop Switch Boost Seconds,teleop Scale Ownership Seconds,teleop Scale Force Seconds,teleop Scale Boost Seconds,teleop Ownership Points,teleop Ownership Points Margin,vault Force Played,vault Force Total,average Force Efficiency,vault Levitate Played,vault Levitate Total,average Levitate Efficiency,vault Boost Played,vault Boost Total,average Boost Efficiency,vault Points,parking Points,climbing Points,levitate Points,climb Rate,adjusted Levitate Rate,adjusted Climb Or Levitate Rate,adjusted Individual Endgame Points,face The Boss Ranking Point,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,tba Ranking Points Earned,Chairman's Strength (mCA),,,,,,,,,,,,,,,,,,,
41,RoboWarriors,Detroit,MAR District Mount Olive Event,2,1509,87.82,-27.38,0.21,8.19,60.24,6.34,-1.00,-1.00,-1.00,0.35,-10.59,-1.00,3.31,0.86,2.05,0.16,0.39,0.76,4.88,-2.53,-0.04,37.05,0.12,2.28,13.42,0.33,0.65,53.39,-33.72,0.07,0.34,0.25,0.59,0.59,0.32,0.35,0.44,0.29,6.85,2.79,-2.39,5.94,0.00,0.25,0.25,10.71,-0.01,1.34,0.49,0.08,0.42,8.63,13.04,-1.00,673,,,,,,,,,,,,,,,,,,,
45,TechnoKats Robotics Team,Detroit,IN District Tippecanoe Event,5,1463,45.15,-66.78,0.09,6.17,23.14,13.62,-1.00,-1.00,-1.00,0.35,24.15,-1.00,4.05,0.83,1.28,0.09,-0.22,-1.33,2.12,-0.51,0.02,22.42,0.93,-1.55,-5.50,1.16,-0.57,14.80,-47.42,0.30,0.46,0.33,0.64,0.75,0.27,0.01,0.47,0.04,8.35,2.31,4.93,6.39,0.25,0.25,0.50,16.67,-0.07,0.21,0.28,0.54,0.03,14.44,2.21,-1.00,1389,,,,,,,,,,,,,,,,,,,
45,TechnoKats Robotics Team,Detroit,IN District St. Joseph Event,2,1499,95.79,-48.84,0.57,13.16,48.77,25.78,-1.00,-1.00,-1.00,0.37,1.64,-1.00,5.93,1.00,3.58,0.39,0.03,-2.49,7.22,8.36,0.49,45.42,0.91,-1.09,2.04,2.78,-1.55,44.82,-43.28,0.64,0.62,0.30,0.63,0.63,0.33,-0.51,-0.46,0.34,3.96,1.62,17.90,6.25,0.42,0.25,0.67,21.67,0.15,0.34,1.37,0.20,0.05,6.64,8.08,-1.00,1389,,,,,,,,,,,,,,,,,,,
48,Delphi E.L.I.T.E.,Detroit,Greater Pittsburgh Regional,4,1554,110.43,47.74,0.83,16.58,85.13,11.82,-1.00,-1.00,-1.00,0.42,31.81,-1.00,4.38,0.92,3.99,0.28,2.11,2.79,12.19,9.00,0.22,44.65,1.79,-1.43,28.51,2.03,3.86,75.59,44.31,0.66,0.91,0.21,-0.05,0.25,0.21,0.59,0.75,0.27,9.54,0.76,11.58,-0.52,0.33,0.18,0.51,16.25,0.03,-0.35,-0.48,-0.03,-0.03,-2.47,-3.09,-1.00,3363,,,,,,,,,,,,,,,,,,,
48,Delphi E.L.I.T.E.,Detroit,Miami Valley Regional,1,1510,84.06,-47.22,0.60,13.59,65.48,7.98,-1.00,-1.00,-1.00,0.33,2.31,-1.00,4.75,1.00,4.09,0.48,0.33,0.04,8.84,10.09,0.34,46.55,0.07,-0.29,12.55,0.95,0.54,59.35,-2.50,0.21,0.29,0.35,-0.35,0.23,0.09,0.15,0.70,0.14,6.13,-0.59,10.58,-2.01,0.20,0.17,0.37,12.50,0.03,0.53,-0.16,1.03,-0.09,28.53,-3.01,-1.00,3259,,,,,,,,,,,,,,,,,,,
51,The Wings of Fire,Detroit,FIM District Milford Event,3,1622,138.23,62.23,0.68,12.40,97.95,25.00,-1.00,-1.00,-1.00,0.17,4.86,-1.00,4.23,1.00,2.97,0.35,1.12,-0.62,8.17,8.15,0.21,42.49,1.68,1.42,39.74,0.33,2.44,86.09,42.23,0.29,0.36,0.30,1.16,1.08,0.38,0.81,0.93,0.13,11.85,1.59,11.81,11.60,0.47,0.23,0.70,22.94,0.09,0.43,0.09,0.46,0.10,13.58,2.87,-1.00,2203,,,,,,,,,,,,,,,,,,,
51,The Wings of Fire,Detroit,FIM District Traverse City Event,1,1504,69.62,-50.80,0.26,4.60,54.12,13.64,-1.00,-1.00,-1.00,0.28,4.91,-1.00,3.34,0.88,0.33,0.15,0.30,-0.56,1.26,2.51,0.04,39.50,-0.30,-0.42,10.03,-0.31,0.18,49.29,-32.05,0.01,0.31,0.15,0.64,0.49,0.43,0.19,0.16,0.23,4.83,2.68,4.40,6.56,0.06,0.26,0.32,13.13,-0.03,0.65,-0.03,0.08,-0.10,5.30,-2.75,-1.00,1723,,,,,,,,,,,,,,,,,,,
56,R.O.B.B.E.,Detroit,FIRST Mid-Atlantic District Championship,6,1789,146.04,60.95,1.44,19.90,90.64,33.23,-1.00,-1.00,-1.00,0.35,-4.36,-1.00,5.16,0.93,4.74,0.44,2.63,2.87,14.74,7.70,0.43,37.39,0.34,0.50,42.75,0.22,1.90,82.54,37.65,0.01,0.20,0.25,1.05,0.98,0.38,0.38,0.44,0.24,8.10,0.38,22.04,10.81,0.67,0.20,0.87,26.67,0.25,0.10,0.16,0.25,0.06,6.73,2.35,-1.00,,,,,,,,,,,,,,,,,,,,
56,R.O.B.B.E.,Detroit,MAR District Montgomery Event,4,1773,200.43,127.06,1.42,16.60,114.15,31.92,-1.00,-1.00,-1.00,0.25,-1.59,-1.00,4.70,0.94,4.68,0.43,1.27,1.76,11.90,7.72,0.38,45.12,3.70,0.37,48.14,0.55,5.38,99.02,53.27,0.45,0.56,0.27,1.35,1.30,0.28,0.94,1.17,0.08,15.14,0.73,20.15,11.03,0.50,0.27,0.77,24.69,0.18,-0.53,-0.46,0.14,1.60,0.87,37.77,-1.00,1565,,,,,,,,,,,,,,,,,,,
56,R.O.B.B.E.,Detroit,MAR District Bridgewater-Raritan Event,3,1749,210.63,159.63,1.39,19.57,138.98,26.22,-1.00,-1.00,-1.00,0.17,10.39,-1.00,3.98,1.00,6.50,0.59,1.29,1.19,15.59,15.14,0.33,64.54,0.18,3.38,55.04,1.57,3.20,126.15,101.20,0.38,0.44,0.17,1.12,1.00,0.41,1.04,1.12,0.23,12.83,0.49,14.32,11.41,0.63,0.12,0.75,23.68,0.11,0.73,0.31,-0.20,0.97,-1.43,25.85,-1.00,1565,,,,,,,,,,,,,,,,,,,
58,The Riot Crew,Detroit,NE District Pine Tree Event,4,1647,132.93,74.30,0.96,12.36,109.53,10.32,-1.00,-1.00,-1.00,0.33,15.16,-1.00,4.93,0.93,1.61,0.34,2.10,1.94,7.42,6.67,0.35,53.64,-0.38,1.71,42.58,-0.79,2.66,100.59,66.94,-0.25,0.01,0.17,0.84,1.02,0.25,0.72,0.76,0.14,8.94,3.70,-2.15,8.78,0.21,0.25,0.46,15.71,0.02,-0.28,0.76,0.14,-0.12,2.02,0.71,-1.00,1744,,,,,,,,,,,,,,,,,,,
58,The Riot Crew,Detroit,NE District SE Mass Event,2,1663,190.75,125.82,1.55,7.67,127.96,20.32,-1.00,-1.00,-1.00,0.34,20.92,-1.00,5.12,1.00,1.30,0.41,-0.02,0.01,2.55,-0.15,0.47,59.85,-0.11,1.52,53.98,1.48,2.29,117.65,106.18,0.26,0.26,0.36,1.23,1.17,0.38,0.51,0.64,0.21,10.32,2.53,5.48,12.30,0.00,0.42,0.42,15.28,0.00,-0.02,0.43,0.98,1.31,24.42,34.81,-1.00,1504,,,,,,,,,,,,,,,,,,,
59,RamTech,Houston,South Florida Regional ,5,1694,140.27,55.42,1.39,14.88,94.35,17.05,-1.00,-1.00,-1.00,0.45,2.74,-1.00,5.31,1.00,3.25,0.39,1.54,2.04,9.57,6.09,0.54,46.37,1.16,2.54,34.01,-0.96,1.28,84.20,35.87,-0.14,0.18,0.16,1.09,1.13,0.29,0.43,0.73,0.19,10.15,0.87,5.32,10.87,0.38,0.21,0.59,19.62,0.05,0.17,1.40,0.63,0.28,16.62,13.98,-1.00,844,,,,,,,,,,,,,,,,,,,
59,RamTech,Houston,Orlando Regional,2,1688,210.03,222.83,1.54,14.45,159.29,29.92,-1.00,-1.00,-1.00,0.13,57.61,-1.00,4.64,1.00,3.67,0.52,1.23,1.70,9.81,10.00,0.20,56.20,0.27,0.50,81.34,0.98,4.95,142.99,179.00,0.20,0.43,0.33,1.38,1.61,0.22,1.17,1.22,0.07,16.30,1.31,15.40,13.22,0.40,0.24,0.64,20.67,0.19,-0.36,0.33,0.33,0.19,6.37,6.35,-1.00,514,,,,,,,,,,,,,,,,,,,
60,Bionic Bulldogs,Houston,Las Vegas Regional,4,1556,91.13,-3.29,0.79,5.73,64.33,18.45,-1.00,-1.00,-1.00,0.24,11.76,-1.00,5.22,0.93,0.17,0.11,0.08,0.44,0.51,-6.65,0.19,34.79,1.85,1.46,17.91,1.57,0.92,55.08,4.38,0.47,0.57,0.33,0.87,0.78,0.40,0.48,0.50,0.33,9.26,1.41,8.12,8.92,0.00,0.38,0.38,13.57,0.07,-0.08,-0.47,0.62,0.20,15.15,2.62,-1.00,1642,,,,,,,,,,,,,,,,,,,
60,Bionic Bulldogs,Houston,Arizona North Regional,2,1632,121.45,32.23,0.73,11.73,95.96,9.92,-1.00,-1.00,-1.00,0.25,6.52,-1.00,4.96,1.00,4.19,0.60,-0.80,-1.50,6.77,8.86,0.25,54.21,0.11,-1.48,36.10,1.08,2.45,91.28,35.11,0.25,0.24,0.28,0.41,0.40,0.35,0.29,0.29,0.22,4.68,2.47,3.33,4.12,0.00,0.22,0.22,9.44,-0.02,0.31,0.80,-0.05,-0.01,0.21,3.84,-1.00,1642,,,,,,,,,,,,,,,,,,,
61,The Intimidators,Detroit,NE District Rhode Island Event,4,1644,145.30,80.32,1.18,15.34,100.50,23.80,-1.00,-1.00,-1.00,0.30,13.42,-1.00,5.30,1.00,4.28,0.56,0.74,0.15,10.04,8.98,0.48,46.15,1.88,2.20,34.86,2.06,3.10,86.31,49.07,0.76,1.05,0.07,1.00,1.04,0.31,0.65,0.75,0.27,14.19,1.11,12.72,9.97,0.64,0.17,0.81,25.36,-0.04,0.41,0.10,-0.05,0.21,0.76,5.66,-1.00,463,,,,,,,,,,,,,,,,,,,
61,The Intimidators,Detroit,NE District Worcester Polytechnic Institute Event,1,1605,171.53,128.85,0.96,14.61,119.50,30.96,-1.00,-1.00,-1.00,0.35,15.37,-1.00,4.48,1.00,5.21,0.45,-0.15,-0.19,10.13,9.71,0.36,51.64,2.40,0.62,47.00,3.78,2.58,101.84,77.49,1.29,1.47,0.12,1.52,1.45,0.42,0.54,0.62,0.11,17.66,0.96,14.82,15.18,0.71,0.11,0.82,26.07,-0.02,0.17,0.78,0.49,0.10,13.11,6.48,-1.00,217,,,,,,,,,,,,,,,,,,,
63,McDowell Robotics Team 63,Detroit,Wisconsin Regional,4,1633,149.24,68.94,1.26,9.67,106.18,34.62,-1.00,-1.00,-1.00,0.40,10.54,-1.00,4.54,1.00,1.91,0.58,0.65,0.36,5.12,3.12,0.34,51.17,-0.24,-0.18,42.11,-1.73,1.91,95.02,57.50,-0.37,0.44,-0.07,1.40,1.14,0.49,0.46,0.66,0.17,11.17,0.29,20.21,14.12,0.71,0.11,0.82,25.71,0.20,0.53,-0.02,0.51,-0.05,15.45,-1.23,-1.00,1255,,,,,,,,,,,,,,,,,,,
63,McDowell Robotics Team 63,Detroit,Miami Valley Regional,1,1620,108.88,63.90,0.68,6.50,87.89,21.31,-1.00,-1.00,-1.00,0.31,24.25,-1.00,4.00,0.89,0.83,0.14,0.42,0.45,2.50,-1.69,0.22,50.53,-2.41,-0.18,32.04,-1.17,0.81,83.19,57.93,-0.05,-0.12,0.17,0.86,0.79,0.37,0.19,0.27,0.24,4.70,0.95,11.27,9.09,0.56,0.13,0.69,22.22,0.04,0.56,0.14,-0.13,-0.30,-0.35,-6.82,-1.00,815,,,,,,,,,,,,,,,,,,,
66,Grizzly Robotics,Detroit,FIM District Belleville Event,4,1694,164.57,103.26,1.04,16.84,135.36,15.95,-1.00,-1.00,-1.00,0.33,-8.87,-1.00,4.82,0.93,3.70,0.38,2.31,2.57,12.02,4.60,0.14,62.85,0.62,3.53,52.70,0.44,1.48,120.56,77.42,0.19,0.32,0.27,1.43,1.35,0.38,0.76,1.29,0.08,14.80,3.47,-1.79,14.27,0.07,0.32,0.39,14.64,-0.01,-0.28,0.15,-0.10,-0.17,-4.01,-3.59,-1.00,-74973,,,,,,,,,,,,,,,,,,,
66,Grizzly Robotics,Detroit,FIM District Lincoln Event,3,1645,176.47,133.01,1.00,12.94,133.57,20.48,-1.00,-1.00,-1.00,0.30,19.30,-1.00,3.94,0.93,3.37,0.31,1.13,-1.00,9.00,12.47,0.20,53.08,1.86,3.66,57.70,1.41,3.52,117.96,103.64,0.43,0.43,0.32,1.48,1.34,0.40,1.32,1.35,0.15,15.61,3.14,2.33,15.01,0.00,0.44,0.44,15.36,-0.07,0.78,1.22,0.36,0.14,12.92,9.46,-1.00,7027,,,,,,,,,,,,,,,,,,,
67,The HOT Team,Detroit,FIM District Troy Event,5,1821,238.23,207.75,2.50,26.61,150.47,51.49,-1.00,-1.00,-1.00,0.41,19.83,-1.00,5.92,1.00,6.62,0.66,3.73,3.89,20.69,16.62,0.71,51.00,1.55,2.93,76.21,-0.40,4.89,135.03,139.14,0.03,0.31,0.24,1.71,1.56,0.43,1.30,1.22,0.12,15.44,-3.48,37.87,17.10,0.89,0.08,0.97,29.21,0.61,0.44,0.35,0.29,0.32,9.55,9.64,-1.00,-99600,,,,,,,,,,,,,,,,,,,
67,The HOT Team,Detroit,FIM District Milford Event,3,1680,152.11,82.01,2.03,16.78,99.02,43.80,-1.00,-1.00,-1.00,0.29,1.10,-1.00,5.01,1.00,4.95,0.57,0.93,0.64,11.77,6.88,0.50,36.94,1.00,1.65,49.00,0.07,3.12,90.71,50.81,0.11,0.08,0.37,0.76,0.90,0.24,0.70,0.68,0.27,8.31,-2.28,38.44,7.64,0.72,0.19,0.91,27.78,0.67,0.12,-0.33,0.09,-0.23,2.82,-7.43,-1.00,-99760,,,,,,,,,,,,,,,,,,,
67,The HOT Team,Detroit,FIM District Southfield Event,1,1681,138.79,41.91,1.34,13.76,88.09,35.96,-1.00,-1.00,-1.00,0.38,6.81,-1.00,5.92,1.00,3.92,0.59,0.00,0.12,7.84,2.78,0.34,54.33,1.43,1.32,24.57,-0.80,-0.36,79.86,17.33,-0.08,0.02,0.29,1.40,1.36,0.35,0.31,0.26,0.32,8.23,-1.59,23.52,14.03,0.58,0.14,0.72,22.89,0.41,1.25,0.26,0.05,-0.01,7.43,0.96,-1.00,-100000,,,,,,,,,,,,,,,,,,,
68,Truck Town Thunder,Detroit,FIM District Troy Event,5,1540,96.19,-2.64,0.68,15.94,47.62,27.80,-1.00,-1.00,-1.00,0.35,7.60,-1.00,4.45,0.79,5.09,0.44,0.65,0.48,11.49,6.92,0.43,10.83,-1.44,0.94,24.29,0.78,1.52,37.59,-17.23,0.39,0.23,0.22,1.32,1.41,0.32,0.33,0.36,0.22,10.03,-0.77,15.35,13.23,0.29,0.23,0.51,16.43,0.15,0.62,-0.24,-0.13,0.24,-0.26,4.83,-1.00,8894,,,,,,,,,,,,,,,,,,,
68,Truck Town Thunder,Detroit,FIM District Waterford Event,2,1623,159.62,100.98,1.12,17.73,104.34,24.00,-1.00,-1.00,-1.00,0.23,24.77,-1.00,3.89,0.82,5.02,0.58,1.90,1.33,13.84,9.28,0.39,49.10,0.33,0.89,38.84,1.41,3.81,92.64,71.81,0.41,0.37,0.32,1.04,1.19,0.23,0.94,0.78,0.22,11.70,0.34,13.31,10.35,0.59,0.13,0.72,22.94,0.07,-0.16,0.65,0.29,0.41,6.46,13.55,-1.00,8894,,,,,,,,,,,,,,,,,,,
69,HYPER,Detroit,NE District Greater Boston Event,6,1463,76.21,-38.20,0.16,8.91,44.01,17.88,-1.00,-1.00,-1.00,0.41,-4.28,-1.00,4.82,1.00,2.23,0.28,-0.19,-0.45,4.09,1.91,0.26,32.51,0.13,-0.50,10.68,-0.05,-0.76,41.93,-40.23,-0.05,-0.12,0.34,0.78,0.87,0.24,-0.31,-0.33,0.44,2.08,1.52,8.58,7.78,0.07,0.32,0.39,15.33,0.06,-0.05,0.70,0.40,0.08,9.66,5.41,-1.00,1285,,,,,,,,,,,,,,,,,,,
69,HYPER,Detroit,NE District Southern CT Event,3,1497,60.69,-87.71,0.01,4.26,52.74,6.84,-1.00,-1.00,-1.00,0.00,-8.37,-1.00,3.55,0.75,0.91,0.07,-0.56,-1.48,0.70,-5.17,-0.04,40.82,-0.75,0.94,6.83,0.58,-0.78,47.81,-41.87,0.04,0.02,0.37,0.62,0.81,0.20,0.17,0.15,0.22,4.93,4.58,-3.90,6.16,0.00,0.28,0.28,12.50,-0.06,0.32,0.26,0.42,-0.18,12.21,-3.15,-1.00,949,,,,,,,,,,,,,,,,,,,
70,More Martians,Detroit,FIM District Troy Event,5,1689,165.94,98.50,1.57,17.60,109.91,26.46,-1.00,-1.00,-1.00,0.36,26.40,-1.00,5.32,1.00,3.77,0.48,2.37,2.81,12.28,7.56,0.46,44.31,-0.92,1.37,43.92,0.89,4.62,94.22,75.60,0.25,0.53,0.13,1.19,1.24,0.32,1.23,1.37,0.01,15.69,1.00,13.55,11.91,0.44,0.30,0.74,23.75,0.11,-0.10,0.68,0.86,0.34,21.09,11.98,-1.00,2052,,,,,,,,,,,,,,,,,,,
70,More Martians,Detroit,FIM District Kettering University Event #1,1,1607,103.70,25.26,0.75,14.63,73.80,20.16,-1.00,-1.00,-1.00,0.27,0.77,-1.00,4.84,1.00,4.75,0.58,0.14,0.09,9.78,9.92,0.62,22.92,-0.59,-0.10,43.54,0.15,-0.67,65.69,17.34,-0.02,-0.07,0.30,1.36,1.30,0.32,-0.16,0.39,0.13,8.11,2.73,3.78,13.65,0.29,0.26,0.55,19.29,-0.10,0.76,-0.07,0.11,-0.18,6.50,-4.88,-1.00,2052,,,,,,,,,,,,,,,,,,,
71,Team Hammond,Detroit,IN District Tippecanoe Event,5,1610,104.57,17.73,0.66,12.62,79.50,15.52,-1.00,-1.00,-1.00,0.26,20.38,-1.00,4.47,0.81,2.47,0.26,1.60,1.10,8.14,6.38,0.28,31.54,1.92,2.09,36.72,-1.86,1.81,72.16,35.53,-0.12,0.13,0.19,0.53,0.79,0.21,0.68,0.55,0.27,7.34,2.31,7.86,5.35,0.63,0.14,0.76,23.75,-0.01,1.07,0.04,0.31,-0.13,13.13,-3.06,-1.00,1861,,,,,,,,,,,,,,,,,,,
71,Team Hammond,Detroit,IN District St. Joseph Event,2,1664,153.80,83.34,1.60,15.39,113.98,25.91,-1.00,-1.00,-1.00,0.30,2.32,-1.00,5.49,1.00,2.91,0.44,2.04,1.51,9.90,7.30,0.53,55.40,-0.78,0.62,51.60,0.61,0.31,107.93,70.10,0.01,-0.05,0.34,1.02,1.05,0.32,0.06,0.21,0.24,6.05,0.73,14.97,10.21,0.56,0.18,0.73,23.61,0.14,0.25,-0.47,0.19,0.03,5.92,-1.49,-1.00,1861,,,,,,,,,,,,,,,,,,,
74,Team C.H.A.O.S.,Detroit,FIM District Shepherd Event,5,1696,179.47,137.82,1.18,16.94,138.68,15.58,-1.00,-1.00,-1.00,0.39,11.87,-1.00,4.70,1.00,3.94,0.39,2.18,2.29,12.24,9.78,0.32,47.96,3.14,2.88,67.22,1.54,4.28,122.35,114.26,0.72,0.92,0.10,1.46,1.38,0.38,0.90,0.96,0.18,16.33,2.74,-1.48,14.32,0.00,0.42,0.42,13.42,-0.01,0.77,-0.49,0.30,0.43,11.47,8.28,-1.00,2100,,,,,,,,,,,,,,,,,,,
74,Team C.H.A.O.S.,Detroit,FIM District West Michigan Event,4,1658,157.71,102.13,0.92,11.26,122.72,23.76,-1.00,-1.00,-1.00,0.43,12.18,-1.00,3.96,0.95,2.61,0.33,1.04,1.20,7.29,-0.29,0.11,53.00,0.99,2.11,49.05,2.16,2.16,106.32,79.39,0.63,0.64,0.28,1.57,1.45,0.42,1.03,1.19,-0.06,16.41,1.83,6.19,15.74,0.00,0.44,0.44,14.00,0.00,-0.11,0.41,-0.23,-0.08,-6.29,-0.03,-1.00,2100,,,,,,,,,,,,,,,,,,,
74,Team C.H.A.O.S.,Detroit,IN District St. Joseph Event,2,1592,102.75,-3.52,0.62,9.15,71.98,8.19,-1.00,-1.00,-1.00,0.47,9.24,-1.00,5.19,1.00,1.45,0.25,0.53,0.50,3.95,2.21,0.30,36.60,3.39,0.73,17.24,3.71,1.23,55.80,-7.67,1.34,1.41,0.26,0.83,0.97,0.30,0.65,0.86,0.03,16.19,3.38,-3.48,8.29,0.33,0.22,0.56,18.61,-0.05,0.16,0.47,0.28,0.44,7.90,13.43,-1.00,1860,,,,,,,,,,,,,,,,,,,
75,RoboRaiders,Detroit,FIRST Mid-Atlantic District Championship,6,1648,121.85,24.59,0.75,14.74,87.01,17.31,-1.00,-1.00,-1.00,0.30,11.85,-1.00,4.95,1.00,5.00,0.39,-0.11,0.34,9.79,4.88,0.36,37.00,3.93,4.88,24.74,2.12,3.99,70.62,21.06,0.77,0.98,0.23,1.12,1.06,0.37,1.32,1.24,0.25,16.39,2.53,3.47,11.31,0.08,0.46,0.54,18.75,-0.04,0.21,0.28,0.20,0.06,6.03,2.78,-1.00,,,,,,,,,,,,,,,,,,,,
75,RoboRaiders,Detroit,MAR District Montgomery Event,4,1625,148.75,65.71,1.12,18.86,93.47,19.07,-1.00,-1.00,-1.00,0.36,-0.62,-1.00,5.39,1.00,4.15,0.36,2.59,3.01,13.47,8.75,0.43,47.27,-0.93,0.33,38.29,-0.10,1.34,87.23,39.30,-0.12,0.14,0.19,0.84,0.94,0.27,0.15,0.18,0.30,6.25,1.99,8.17,8.92,0.53,0.16,0.69,20.88,0.06,-0.01,1.23,0.09,0.45,2.23,17.32,-1.00,5522,,,,,,,,,,,,,,,,,,,
75,RoboRaiders,Detroit,MAR District Bridgewater-Raritan Event,3,1568,98.74,42.16,0.57,2.96,65.84,22.59,-1.00,-1.00,-1.00,0.17,25.70,-1.00,3.83,0.79,-0.66,-0.04,0.22,-0.95,-0.88,-2.96,0.04,41.09,0.27,2.48,12.96,0.58,0.72,57.25,22.95,0.19,0.21,0.34,1.20,1.02,0.43,0.55,0.49,0.31,8.59,3.24,7.33,12.02,0.14,0.37,0.51,18.21,0.01,-0.10,0.68,-0.07,0.16,-2.21,7.35,-1.00,5522,,,,,,,,,,,,,,,,,,,
78,AIR STRIKE,Detroit,NE District Rhode Island Event,4,1702,135.82,59.06,1.07,6.36,97.02,27.87,-1.00,-1.00,-1.00,0.20,4.44,-1.00,4.04,0.93,1.49,0.10,-0.33,-0.03,2.32,0.45,0.18,36.87,0.00,3.16,42.39,-1.24,3.55,85.96,48.30,-0.13,0.26,0.13,0.76,0.84,0.28,1.14,1.11,0.17,11.05,-0.11,20.39,7.59,0.71,0.14,0.86,26.79,0.03,-0.15,-0.37,0.17,0.26,3.55,4.64,-1.00,-77450,,,,,,,,,,,,,,,,,,,
78,AIR STRIKE,Detroit,NE District SE Mass Event,2,1716,148.23,92.38,1.26,18.90,94.26,26.19,-1.00,-1.00,-1.00,0.22,11.69,-1.00,4.80,1.00,7.11,0.63,-0.06,-0.38,14.10,15.07,0.35,39.38,-1.04,1.04,41.61,-0.77,3.07,85.10,50.33,-0.02,0.08,0.14,0.98,0.91,0.36,0.72,0.84,0.22,9.16,0.33,16.09,9.77,0.72,0.08,0.81,24.44,0.00,-0.13,-0.01,-0.06,0.36,-2.08,8.88,-1.00,4550,,,,,,,,,,,,,,,,,,,
78,AIR STRIKE,Detroit,NE District Worcester Polytechnic Institute Event,1,1666,161.00,94.91,1.07,13.88,117.37,33.62,-1.00,-1.00,-1.00,0.32,7.21,-1.00,4.18,0.95,4.97,0.44,-0.12,-0.21,9.70,7.68,0.24,48.14,0.61,2.41,51.20,0.98,1.97,103.71,73.79,0.24,0.51,0.23,0.76,1.24,0.12,1.00,0.99,0.14,13.66,-0.79,26.85,7.56,0.84,0.05,0.89,27.11,0.10,0.34,0.18,0.06,-0.19,3.27,-3.88,-1.00,4470,,,,,,,,,,,,,,,,,,,
79,Team Krunch,Houston,Orlando Regional,2,1574,75.14,-38.98,0.26,3.35,39.52,21.39,-1.00,-1.00,-1.00,0.45,-11.20,-1.00,3.26,0.75,-1.13,-0.18,1.17,-0.33,0.09,3.39,-0.20,33.82,0.57,2.00,-3.30,0.09,0.58,33.10,-46.48,0.02,0.11,0.32,1.09,0.97,0.45,0.25,0.20,0.35,6.41,-0.50,9.92,11.97,0.13,0.31,0.44,15.00,0.08,0.68,1.10,0.17,0.21,7.64,10.85,-1.00,2616,,,,,,,,,,,,,,,,,,,
81,MetalHeads,Detroit,Central Illinois Regional,3,1367,6.40,-132.85,-0.31,0.23,4.14,2.17,-1.00,-1.00,-1.00,-0.07,7.41,-1.00,3.13,0.75,-1.63,-0.23,0.18,0.10,-2.90,-7.07,-0.11,1.00,2.47,-1.39,0.66,1.29,-0.41,-0.14,-82.29,0.53,0.54,0.29,0.23,0.39,0.21,-0.35,-0.07,0.15,4.28,2.42,-2.58,2.34,0.00,0.25,0.25,10.42,-0.01,0.57,-0.09,0.62,0.01,18.27,-0.14,-1.00,37,,,,,,,,,,,,,,,,,,,
85,B.O.B. (Built on Brains),Detroit,FIM District West Michigan Event,4,1800,187.13,113.00,1.46,13.54,139.89,26.54,-1.00,-1.00,-1.00,0.42,16.10,-1.00,6.05,1.00,3.54,0.45,0.21,-1.73,7.49,3.79,0.53,61.35,3.27,3.14,52.72,2.29,5.15,122.36,96.19,0.92,1.21,0.16,1.05,0.92,0.41,1.31,1.37,0.19,17.53,1.15,14.93,10.45,0.44,0.25,0.69,21.39,-0.01,1.04,0.03,0.13,0.28,8.56,7.16,-1.00,2536,,,,,,,,,,,,,,,,,,,
85,B.O.B. (Built on Brains),Detroit,FIM District St. Joseph Event,2,1720,178.21,138.84,1.10,16.93,112.03,29.59,-1.00,-1.00,-1.00,0.43,20.04,-1.00,5.37,1.00,4.60,0.56,1.18,1.28,11.56,9.27,0.45,52.18,0.87,2.57,40.76,0.91,2.94,98.46,69.12,0.22,0.47,0.27,1.47,1.36,0.43,0.99,0.89,0.23,13.57,2.31,12.27,15.01,0.53,0.20,0.73,23.24,0.00,-0.48,0.24,0.06,0.75,-0.80,19.91,-1.00,2376,,,,,,,,,,,,,,,,,,,
